,Babel El Mandeb,Strait Of Hormuz,Panama Canal,Suez Canal,Cape Of Good Hope,Strait Of Malacca
1970-01-01 00:00:00.000013017,,,,,,23
1970-01-01 00:00:00.000013018,,,,,,35
1970-01-01 00:00:00.000013019,,,,,,24
1970-01-01 00:00:00.000013020,,,,,,35
1970-01-01 00:00:00.000013021,,,,,,26
1970-01-01 00:00:00.000013022,,,,,,19
1970-01-01 00:00:00.000013023,,,,,,30
1970-01-01 00:00:00.000013024,,,,,,18
1970-01-01 00:00:00.000013025,,,,,,24
1970-01-01 00:00:00.000013026,,,,,,25
1970-01-01 00:00:00.000013027,,,,,,23
1970-01-01 00:00:00.000013028,,,,,,19
1970-01-01 00:00:00.000013029,,,,,,23
1970-01-01 00:00:00.000013030,,,,,,17
1970-01-01 00:00:00.000013031,,,,,,17
1970-01-01 00:00:00.000013032,,,,,,18
1970-01-01 00:00:00.000013033,,,,,,33
1970-01-01 00:00:00.000013034,,,,,,25
1970-01-01 00:00:00.000013035,,,,,,23
1970-01-01 00:00:00.000013036,,,,,,26
1970-01-01 00:00:00.000013037,,,,,,31
1970-01-01 00:00:00.000013038,,,,,,24
1970-01-01 00:00:00.000013039,,,,,,20
1970-01-01 00:00:00.000013040,,,,,,16
1970-01-01 00:00:00.000013041,,,,,,23
1970-01-01 00:00:00.000013042,,,,,,29
1970-01-01 00:00:00.000013043,,,,,,17
1970-01-01 00:00:00.000013044,,,,,,20
1970-01-01 00:00:00.000013045,,,,,,19
1970-01-01 00:00:00.000013046,,,,,,22
1970-01-01 00:00:00.000013047,,,,,,41
1970-01-01 00:00:00.000013048,,,,,,20
1970-01-01 00:00:00.000013049,,,,,,22
1970-01-01 00:00:00.000013050,,,,,,32
1970-01-01 00:00:00.000013051,,,,,,34
1970-01-01 00:00:00.000013052,,,,,,23
1970-01-01 00:00:00.000013053,,,,,,23
1970-01-01 00:00:00.000013054,,,,,,31
1970-01-01 00:00:00.000013055,,,,,,20
1970-01-01 00:00:00.000013056,,,,,,25
1970-01-01 00:00:00.000013057,,,,,,20
1970-01-01 00:00:00.000013058,,,,,,18
1970-01-01 00:00:00.000013059,,,,,,21
1970-01-01 00:00:00.000013060,,,,,,30
1970-01-01 00:00:00.000013061,,,,,,25
1970-01-01 00:00:00.000013062,,,,,,27
1970-01-01 00:00:00.000013063,,,,,,37
1970-01-01 00:00:00.000013064,,,,,,19
1970-01-01 00:00:00.000013065,,,,,,29
1970-01-01 00:00:00.000013066,,,,,,32
1970-01-01 00:00:00.000013067,,,,,,34
1970-01-01 00:00:00.000013068,,,,,,29
1970-01-01 00:00:00.000013069,,,,,,21
1970-01-01 00:00:00.000013070,,,,,,22
1970-01-01 00:00:00.000013071,,,,,,31
1970-01-01 00:00:00.000013072,,,,,,33
1970-01-01 00:00:00.000013073,,,,,,24
1970-01-01 00:00:00.000013074,,,,,,25
1970-01-01 00:00:00.000013075,,,,,,28
1970-01-01 00:00:00.000013076,,,,,,36
1970-01-01 00:00:00.000013077,,,,,,33
1970-01-01 00:00:00.000013078,,,,,,21
1970-01-01 00:00:00.000013079,,,,,,21
1970-01-01 00:00:00.000013080,,,,,,25
1970-01-01 00:00:00.000013081,,,,,,30
1970-01-01 00:00:00.000013082,,,,,,38
1970-01-01 00:00:00.000013083,,,,,,20
1970-01-01 00:00:00.000013084,,,,,,26
1970-01-01 00:00:00.000013085,,,,,,37
1970-01-01 00:00:00.000013086,,,,,,27
1970-01-01 00:00:00.000013087,,,,,,26
1970-01-01 00:00:00.000013088,,,,,,29
1970-01-01 00:00:00.000013089,,,,,,31
1970-01-01 00:00:00.000013090,,,,,,26
1970-01-01 00:00:00.000013091,,,,,,37
1970-01-01 00:00:00.000013092,,,,,,20
1970-01-01 00:00:00.000013093,,,,,,17
1970-01-01 00:00:00.000013094,,,,,,22
1970-01-01 00:00:00.000013095,,,,,,26
1970-01-01 00:00:00.000013096,,,,,,22
1970-01-01 00:00:00.000013097,,,,,,21
1970-01-01 00:00:00.000013098,,,,,,25
1970-01-01 00:00:00.000013099,,,,,,20
1970-01-01 00:00:00.000013100,,,,,,31
1970-01-01 00:00:00.000013101,,,,,,32
1970-01-01 00:00:00.000013102,,,,,,27
1970-01-01 00:00:00.000013103,,,,,,17
1970-01-01 00:00:00.000013104,,,,,,24
1970-01-01 00:00:00.000013105,,,,,,25
1970-01-01 00:00:00.000013106,,,,,,27
1970-01-01 00:00:00.000013107,,,,,,21
1970-01-01 00:00:00.000013108,,,,,,26
1970-01-01 00:00:00.000013109,,,,,,20
1970-01-01 00:00:00.000013110,,,,,,23
1970-01-01 00:00:00.000013111,,,,,,24
1970-01-01 00:00:00.000013112,,,,,,25
1970-01-01 00:00:00.000013113,,,,,,25
1970-01-01 00:00:00.000013114,,,,,,19
1970-01-01 00:00:00.000013115,,,,,,22
1970-01-01 00:00:00.000013116,,,,,,24
1970-01-01 00:00:00.000013117,,,,,,19
1970-01-01 00:00:00.000013118,,,,,,23
1970-01-01 00:00:00.000013119,,,,,,25
1970-01-01 00:00:00.000013120,,,,,,17
1970-01-01 00:00:00.000013121,,,,,,28
1970-01-01 00:00:00.000013122,,,,,,23
1970-01-01 00:00:00.000013123,,,,,,22
1970-01-01 00:00:00.000013124,,,,,,25
1970-01-01 00:00:00.000013125,,,,,,28
1970-01-01 00:00:00.000013126,,,,,,20
1970-01-01 00:00:00.000013127,,,,,,16
1970-01-01 00:00:00.000013128,,,,,,20
1970-01-01 00:00:00.000013129,,,,,,24
1970-01-01 00:00:00.000013130,,,,,,18
1970-01-01 00:00:00.000013131,,,,,,20
1970-01-01 00:00:00.000013132,,,,,,21
1970-01-01 00:00:00.000013133,,,,,,19
1970-01-01 00:00:00.000013134,,,,,,15
1970-01-01 00:00:00.000013135,,,,,,8
1970-01-01 00:00:00.000013136,,,,,,7
1970-01-01 00:00:00.000013137,,,,,,27
1970-01-01 00:00:00.000013138,,,,,,39
1970-01-01 00:00:00.000013139,,,,,,24
1970-01-01 00:00:00.000013140,,,,,,26
1970-01-01 00:00:00.000013141,,,,,,12
1970-01-01 00:00:00.000013142,,,,,,16
1970-01-01 00:00:00.000013143,,,,,,25
1970-01-01 00:00:00.000013144,,,,,,26
1970-01-01 00:00:00.000013145,,,,,,23
1970-01-01 00:00:00.000013146,,,,,,29
1970-01-01 00:00:00.000013147,,,,,,31
1970-01-01 00:00:00.000013148,,,,,,21
1970-01-01 00:00:00.000013149,,,,,,20
1970-01-01 00:00:00.000013150,,,,,,22
1970-01-01 00:00:00.000013151,,,,,,22
1970-01-01 00:00:00.000013152,,,,,,30
1970-01-01 00:00:00.000013153,,,,,,21
1970-01-01 00:00:00.000013154,,,,,,27
1970-01-01 00:00:00.000013155,,,,,,19
1970-01-01 00:00:00.000013156,,,,,,27
1970-01-01 00:00:00.000013157,,,,,,26
1970-01-01 00:00:00.000013158,,,,,,21
1970-01-01 00:00:00.000013159,,,,,,19
1970-01-01 00:00:00.000013160,,,,,,28
1970-01-01 00:00:00.000013161,,,,,,25
1970-01-01 00:00:00.000013162,,,,,,25
1970-01-01 00:00:00.000013163,,,,,,23
1970-01-01 00:00:00.000013164,,,,,,24
1970-01-01 00:00:00.000013165,,,,,,18
1970-01-01 00:00:00.000013166,,,,,,21
1970-01-01 00:00:00.000013167,,,,,,26
1970-01-01 00:00:00.000013168,,,,,,22
1970-01-01 00:00:00.000013169,,,,,,22
1970-01-01 00:00:00.000013170,,,,,,22
1970-01-01 00:00:00.000013171,,,,,,20
1970-01-01 00:00:00.000013172,,,,,,23
1970-01-01 00:00:00.000013173,,,,,,26
1970-01-01 00:00:00.000013174,,,,,,24
1970-01-01 00:00:00.000013175,,,,,,23
1970-01-01 00:00:00.000013176,,,,,,28
1970-01-01 00:00:00.000013177,,,,,,24
1970-01-01 00:00:00.000013178,,,,,,22
1970-01-01 00:00:00.000013179,,,,,,16
1970-01-01 00:00:00.000013180,,,,,,22
1970-01-01 00:00:00.000013181,,,,,,17
1970-01-01 00:00:00.000013182,,,,,,27
1970-01-01 00:00:00.000013183,,,,,,18
1970-01-01 00:00:00.000013184,,,,,,22
1970-01-01 00:00:00.000013185,,,,,,27
1970-01-01 00:00:00.000013186,,,,,,19
1970-01-01 00:00:00.000013187,,,,,,30
1970-01-01 00:00:00.000013188,,,,,,25
1970-01-01 00:00:00.000013189,,,,,,17
1970-01-01 00:00:00.000013190,,,,,,21
1970-01-01 00:00:00.000013191,,,,,,18
1970-01-01 00:00:00.000013192,,,,,,20
1970-01-01 00:00:00.000013193,,,,,,26
1970-01-01 00:00:00.000013194,,,,,,27
1970-01-01 00:00:00.000013195,,,,,,27
1970-01-01 00:00:00.000013196,,,,,,23
1970-01-01 00:00:00.000013197,,,,,,26
1970-01-01 00:00:00.000013198,,,,,,19
1970-01-01 00:00:00.000013199,,,,,,27
1970-01-01 00:00:00.000013200,,,,,,31
1970-01-01 00:00:00.000013201,,,,,,20
1970-01-01 00:00:00.000013202,,,,,,21
1970-01-01 00:00:00.000013203,,,,,,27
1970-01-01 00:00:00.000013204,,,,,,34
1970-01-01 00:00:00.000013205,,,,,,22
1970-01-01 00:00:00.000013206,,,,,,28
1970-01-01 00:00:00.000013207,,,,,,28
1970-01-01 00:00:00.000013208,,,,,,23
1970-01-01 00:00:00.000013209,,,,,,38
1970-01-01 00:00:00.000013210,,,,,,40
1970-01-01 00:00:00.000013211,,,,,,16
1970-01-01 00:00:00.000013212,,,,,,19
1970-01-01 00:00:00.000013213,,,,,,25
1970-01-01 00:00:00.000013214,,,,,,34
1970-01-01 00:00:00.000013215,,,,,,24
1970-01-01 00:00:00.000013216,,,,,,29
1970-01-01 00:00:00.000013217,,,,,,41
1970-01-01 00:00:00.000013218,,,,,,23
1970-01-01 00:00:00.000013219,,,,,,27
1970-01-01 00:00:00.000013220,,,,,,27
1970-01-01 00:00:00.000013221,,,,,,33
1970-01-01 00:00:00.000013222,,,,,,33
1970-01-01 00:00:00.000013223,,,,,,24
1970-01-01 00:00:00.000013224,,,,,,20
1970-01-01 00:00:00.000013225,,,,,,23
1970-01-01 00:00:00.000013226,,,,,,36
1970-01-01 00:00:00.000013227,,,,,,24
1970-01-01 00:00:00.000013228,,,,,,38
1970-01-01 00:00:00.000013229,,,,,,27
1970-01-01 00:00:00.000013230,,,,,,36
1970-01-01 00:00:00.000013231,,,,,,25
1970-01-01 00:00:00.000013232,,,,,,35
1970-01-01 00:00:00.000013233,,,,,,33
1970-01-01 00:00:00.000013234,,,,,,29
1970-01-01 00:00:00.000013235,,,,,,38
1970-01-01 00:00:00.000013236,,,,,,22
1970-01-01 00:00:00.000013237,,,,,,21
1970-01-01 00:00:00.000013238,,,,,,24
1970-01-01 00:00:00.000013239,,,,,,38
1970-01-01 00:00:00.000013240,,,,,,26
1970-01-01 00:00:00.000013241,,,,,,24
1970-01-01 00:00:00.000013242,,,,,,35
1970-01-01 00:00:00.000013243,,,,,,27
1970-01-01 00:00:00.000013244,,,,,,39
1970-01-01 00:00:00.000013245,,,,,,22
1970-01-01 00:00:00.000013246,,,,,,25
1970-01-01 00:00:00.000013247,,,,,,35
1970-01-01 00:00:00.000013248,,,,,,34
1970-01-01 00:00:00.000013249,,,,,,28
1970-01-01 00:00:00.000013250,,,,,,25
1970-01-01 00:00:00.000013251,,,,,,23
1970-01-01 00:00:00.000013252,,,,,,29
1970-01-01 00:00:00.000013253,,,,,,30
1970-01-01 00:00:00.000013254,,,,,,31
1970-01-01 00:00:00.000013255,,,,,,25
1970-01-01 00:00:00.000013256,,,,,,20
1970-01-01 00:00:00.000013257,,,,,,27
1970-01-01 00:00:00.000013258,,,,,,23
1970-01-01 00:00:00.000013259,,,,,,31
1970-01-01 00:00:00.000013260,,,,,,33
1970-01-01 00:00:00.000013261,,,,,,27
1970-01-01 00:00:00.000013262,,,,,,25
1970-01-01 00:00:00.000013263,,,,,,42
1970-01-01 00:00:00.000013264,,,,,,35
1970-01-01 00:00:00.000013265,,,,,,30
1970-01-01 00:00:00.000013266,,,,,,31
1970-01-01 00:00:00.000013267,,,,,,16
1970-01-01 00:00:00.000013268,,,,,,14
1970-01-01 00:00:00.000013269,,,,,,23
1970-01-01 00:00:00.000013270,,,,,,20
1970-01-01 00:00:00.000013271,,,,,,27
1970-01-01 00:00:00.000013272,,,,,,23
1970-01-01 00:00:00.000013273,,,,,,33
1970-01-01 00:00:00.000013274,,,,,,38
1970-01-01 00:00:00.000013275,,,,,,32
1970-01-01 00:00:00.000013276,,,,,,43
1970-01-01 00:00:00.000013277,,,,,,33
1970-01-01 00:00:00.000013278,,,,,,24
1970-01-01 00:00:00.000013279,,,,,,32
1970-01-01 00:00:00.000013280,,,,,,32
1970-01-01 00:00:00.000013281,,,,,,30
1970-01-01 00:00:00.000013282,,,,,,30
1970-01-01 00:00:00.000013283,,,,,,30
1970-01-01 00:00:00.000013284,,,,,,34
1970-01-01 00:00:00.000013285,,,,,,29
1970-01-01 00:00:00.000013286,,,,,,29
1970-01-01 00:00:00.000013287,,,,,,27
1970-01-01 00:00:00.000013288,,,,,,27
1970-01-01 00:00:00.000013289,,,,,,30
1970-01-01 00:00:00.000013290,,,,,,12
1970-01-01 00:00:00.000013291,,,,,,48
1970-01-01 00:00:00.000013292,,,,,,45
1970-01-01 00:00:00.000013293,,,,,,25
1970-01-01 00:00:00.000013294,,,,,,22
1970-01-01 00:00:00.000013295,,,,,,23
1970-01-01 00:00:00.000013296,,,,,,31
1970-01-01 00:00:00.000013297,,,,,,31
1970-01-01 00:00:00.000013298,,,,,,17
1970-01-01 00:00:00.000013299,,,,,,9
1970-01-01 00:00:00.000013300,,,,,,8
1970-01-01 00:00:00.000013301,,,,,,29
1970-01-01 00:00:00.000013302,,,,,,37
1970-01-01 00:00:00.000013303,,,,,,26
1970-01-01 00:00:00.000013304,,,,,,28
1970-01-01 00:00:00.000013305,,,,,,25
1970-01-01 00:00:00.000013306,,,,,,29
1970-01-01 00:00:00.000013307,,,,,,26
1970-01-01 00:00:00.000013308,,,,,,30
1970-01-01 00:00:00.000013309,,,,,,25
1970-01-01 00:00:00.000013310,,,,,,30
1970-01-01 00:00:00.000013311,,,,,,29
1970-01-01 00:00:00.000013312,,,,,,30
1970-01-01 00:00:00.000013313,,,,,,18
1970-01-01 00:00:00.000013314,,,,,,32
1970-01-01 00:00:00.000013315,,,,,,24
1970-01-01 00:00:00.000013316,,,,,,18
1970-01-01 00:00:00.000013317,,,,,,21
1970-01-01 00:00:00.000013318,,,,,,22
1970-01-01 00:00:00.000013319,,,,,,32
1970-01-01 00:00:00.000013320,,,,,,30
1970-01-01 00:00:00.000013321,,,,,,34
1970-01-01 00:00:00.000013322,,,,,,28
1970-01-01 00:00:00.000013323,,,,,,16
1970-01-01 00:00:00.000013324,,,,,,31
1970-01-01 00:00:00.000013325,,,,,,32
1970-01-01 00:00:00.000013326,,,,,,27
1970-01-01 00:00:00.000013327,,,,,,20
1970-01-01 00:00:00.000013328,,,,,,18
1970-01-01 00:00:00.000013329,,,,,,30
1970-01-01 00:00:00.000013330,,,,,,23
1970-01-01 00:00:00.000013331,,,,,,25
1970-01-01 00:00:00.000013332,,,,,,29
1970-01-01 00:00:00.000013333,,,,,,24
1970-01-01 00:00:00.000013334,,,,,,27
1970-01-01 00:00:00.000013335,,,,,,29
1970-01-01 00:00:00.000013336,,,,,,34
1970-01-01 00:00:00.000013337,,,,,,27
1970-01-01 00:00:00.000013338,,,,,,38
1970-01-01 00:00:00.000013339,,,,,,22
1970-01-01 00:00:00.000013340,,,,,,31
1970-01-01 00:00:00.000013341,,,,,,42
1970-01-01 00:00:00.000013342,,,,,,31
1970-01-01 00:00:00.000013343,,,,,,32
1970-01-01 00:00:00.000013344,,,,,,24
1970-01-01 00:00:00.000013345,,,,,,25
1970-01-01 00:00:00.000013346,,,,,,32
1970-01-01 00:00:00.000013347,,,,,,44
1970-01-01 00:00:00.000013348,,,,,,28
1970-01-01 00:00:00.000013349,,,,,,29
1970-01-01 00:00:00.000013350,,,,,,25
1970-01-01 00:00:00.000013351,,,,,,34
1970-01-01 00:00:00.000013352,,,,,,15
1970-01-01 00:00:00.000013353,,,,,,17
1970-01-01 00:00:00.000013354,,,,,,30
1970-01-01 00:00:00.000013355,,,,,,24
1970-01-01 00:00:00.000013356,,,,,,23
1970-01-01 00:00:00.000013357,,,,,,25
1970-01-01 00:00:00.000013358,,,,,,26
1970-01-01 00:00:00.000013359,,,,,,28
1970-01-01 00:00:00.000013360,,,,,,33
1970-01-01 00:00:00.000013361,,,,,,30
1970-01-01 00:00:00.000013362,,,,,,26
1970-01-01 00:00:00.000013363,,,,,,24
1970-01-01 00:00:00.000013364,,,,,,33
1970-01-01 00:00:00.000013365,,,,,,44
1970-01-01 00:00:00.000013366,,,,,,36
1970-01-01 00:00:00.000013367,,,,,,29
1970-01-01 00:00:00.000013368,,,,,,25
1970-01-01 00:00:00.000013369,,,,,,26
1970-01-01 00:00:00.000013370,,,,,,23
1970-01-01 00:00:00.000013371,,,,,,20
1970-01-01 00:00:00.000013372,,,,,,19
1970-01-01 00:00:00.000013373,,,,,,25
1970-01-01 00:00:00.000013374,,,,,,31
1970-01-01 00:00:00.000013375,,,,,,31
1970-01-01 00:00:00.000013376,,,,,,9
1970-01-01 00:00:00.000013377,,,,,,24
1970-01-01 00:00:00.000013378,,,,,,18
1970-01-01 00:00:00.000013379,,,,,,20
1970-01-01 00:00:00.000013380,,,,,,24
1970-01-01 00:00:00.000013381,,,,,,31
1970-01-01 00:00:00.000013382,,,,,,22
1970-01-01 00:00:00.000013383,,,,,,32
1970-01-01 00:00:00.000013384,,,,,,38
1970-01-01 00:00:00.000013385,,,,,,30
1970-01-01 00:00:00.000013386,,,,,,29
1970-01-01 00:00:00.000013387,,,,,,29
1970-01-01 00:00:00.000013388,,,,,,11
1970-01-01 00:00:00.000013389,,,,,,30
1970-01-01 00:00:00.000013390,,,,,,28
1970-01-01 00:00:00.000013391,,,,,,25
1970-01-01 00:00:00.000013392,,,,,,17
1970-01-01 00:00:00.000013393,,,,,,25
1970-01-01 00:00:00.000013394,,,,,,27
1970-01-01 00:00:00.000013395,,,,,,15
1970-01-01 00:00:00.000013396,,,,,,19
1970-01-01 00:00:00.000013397,,,,,,26
1970-01-01 00:00:00.000013398,,,,,,41
1970-01-01 00:00:00.000013399,,,,,,25
1970-01-01 00:00:00.000013400,,,,,,31
1970-01-01 00:00:00.000013401,,,,,,26
1970-01-01 00:00:00.000013402,,,,,,29
1970-01-01 00:00:00.000013403,,,,,,26
1970-01-01 00:00:00.000013404,,,,,,20
1970-01-01 00:00:00.000013405,,,,,,17
1970-01-01 00:00:00.000013406,,,,,,28
1970-01-01 00:00:00.000013407,,,,,,26
1970-01-01 00:00:00.000013408,,,,,,24
1970-01-01 00:00:00.000013409,,,,,,24
1970-01-01 00:00:00.000013410,,,,,,10
1970-01-01 00:00:00.000013411,,,,,,26
1970-01-01 00:00:00.000013412,,,,,,23
1970-01-01 00:00:00.000013413,,,,,,43
1970-01-01 00:00:00.000013414,,,,,,35
1970-01-01 00:00:00.000013415,,,,,,28
1970-01-01 00:00:00.000013416,,,,,,30
1970-01-01 00:00:00.000013417,,,,,,20
1970-01-01 00:00:00.000013418,,,,,,25
1970-01-01 00:00:00.000013419,,,,,,24
1970-01-01 00:00:00.000013420,,,,,,24
1970-01-01 00:00:00.000013421,,,,,,30
1970-01-01 00:00:00.000013422,,,,,,28
1970-01-01 00:00:00.000013423,,,,,,31
1970-01-01 00:00:00.000013424,,,,,,27
1970-01-01 00:00:00.000013425,,,,,,42
1970-01-01 00:00:00.000013426,,,,,,27
1970-01-01 00:00:00.000013427,,,,,,23
1970-01-01 00:00:00.000013428,,,,,,27
1970-01-01 00:00:00.000013429,,,,,,31
1970-01-01 00:00:00.000013430,,,,,,21
1970-01-01 00:00:00.000013431,,,,,,24
1970-01-01 00:00:00.000013432,,,,,,39
1970-01-01 00:00:00.000013433,,,,,,29
1970-01-01 00:00:00.000013434,,,,,,23
1970-01-01 00:00:00.000013435,,,,,,25
1970-01-01 00:00:00.000013436,,,,,,26
1970-01-01 00:00:00.000013437,,,,,,30
1970-01-01 00:00:00.000013438,,,,,,36
1970-01-01 00:00:00.000013439,,,,,,19
1970-01-01 00:00:00.000013440,,,,,,22
1970-01-01 00:00:00.000013441,,,,,,30
1970-01-01 00:00:00.000013442,,,,,,36
1970-01-01 00:00:00.000013443,,,,,,21
1970-01-01 00:00:00.000013444,,,,,,26
1970-01-01 00:00:00.000013445,,,,,,48
1970-01-01 00:00:00.000013446,,,,,,21
1970-01-01 00:00:00.000013447,,,,,,39
1970-01-01 00:00:00.000013448,,,,,,33
1970-01-01 00:00:00.000013449,,,,,,22
1970-01-01 00:00:00.000013450,,,,,,27
1970-01-01 00:00:00.000013451,,,,,,36
1970-01-01 00:00:00.000013452,,,,,,16
1970-01-01 00:00:00.000013453,,,,,,24
1970-01-01 00:00:00.000013454,,,,,,24
1970-01-01 00:00:00.000013455,,,,,,32
1970-01-01 00:00:00.000013456,,,,,,27
1970-01-01 00:00:00.000013457,,,,,,33
1970-01-01 00:00:00.000013458,,,,,,28
1970-01-01 00:00:00.000013459,,,,,,25
1970-01-01 00:00:00.000013460,,,,,,32
1970-01-01 00:00:00.000013461,,,,,,27
1970-01-01 00:00:00.000013462,,,,,,30
1970-01-01 00:00:00.000013463,,,,,,29
1970-01-01 00:00:00.000013464,,,,,,26
1970-01-01 00:00:00.000013465,,,,,,30
1970-01-01 00:00:00.000013466,,,,,,17
1970-01-01 00:00:00.000013467,,,,,,27
1970-01-01 00:00:00.000013468,,,,,,29
1970-01-01 00:00:00.000013469,,,,,,23
1970-01-01 00:00:00.000013470,,,,,,26
1970-01-01 00:00:00.000013471,,,,,,24
1970-01-01 00:00:00.000013472,,,,,,31
1970-01-01 00:00:00.000013473,,,,,,35
1970-01-01 00:00:00.000013474,,,,,,27
1970-01-01 00:00:00.000013475,,,,,,29
1970-01-01 00:00:00.000013476,,,,,,23
1970-01-01 00:00:00.000013477,,,,,,25
1970-01-01 00:00:00.000013478,,,,,,30
1970-01-01 00:00:00.000013479,,,,,,31
1970-01-01 00:00:00.000013480,,,,,,32
1970-01-01 00:00:00.000013481,,,,,,26
1970-01-01 00:00:00.000013482,,,,,,31
1970-01-01 00:00:00.000013483,,,,,,28
1970-01-01 00:00:00.000013484,,,,,,29
1970-01-01 00:00:00.000013485,,,,,,30
1970-01-01 00:00:00.000013486,,,,,,33
1970-01-01 00:00:00.000013487,,,,,,32
1970-01-01 00:00:00.000013488,,,,,,42
1970-01-01 00:00:00.000013489,,,,,,34
1970-01-01 00:00:00.000013490,,,,,,35
1970-01-01 00:00:00.000013491,,,,,,40
1970-01-01 00:00:00.000013492,,,,,,19
1970-01-01 00:00:00.000013493,,,,,,31
1970-01-01 00:00:00.000013494,,,,,,38
1970-01-01 00:00:00.000013495,,,,,,30
1970-01-01 00:00:00.000013496,,,,,,29
1970-01-01 00:00:00.000013497,,,,,,38
1970-01-01 00:00:00.000013498,,,,,,28
1970-01-01 00:00:00.000013499,,,,,,33
1970-01-01 00:00:00.000013500,,,,,,23
1970-01-01 00:00:00.000013501,,,,,,15
1970-01-01 00:00:00.000013502,,,,,,30
1970-01-01 00:00:00.000013503,,,,,,33
1970-01-01 00:00:00.000013504,,,,,,32
1970-01-01 00:00:00.000013505,,,,,,36
1970-01-01 00:00:00.000013506,,,,,,41
1970-01-01 00:00:00.000013507,,,,,,31
1970-01-01 00:00:00.000013508,,,,,,27
1970-01-01 00:00:00.000013509,,,,,,29
1970-01-01 00:00:00.000013510,,,,,,22
1970-01-01 00:00:00.000013511,,,,,,13
1970-01-01 00:00:00.000013512,,,,,,28
1970-01-01 00:00:00.000013513,,,,,,27
1970-01-01 00:00:00.000013514,,,,,,23
1970-01-01 00:00:00.000013515,,,,,,31
1970-01-01 00:00:00.000013516,,,,,,24
1970-01-01 00:00:00.000013517,,,,,,29
1970-01-01 00:00:00.000013518,,,,,,21
1970-01-01 00:00:00.000013519,,,,,,23
1970-01-01 00:00:00.000013520,,,,,,42
1970-01-01 00:00:00.000013521,,,,,,18
1970-01-01 00:00:00.000013522,,,,,,27
1970-01-01 00:00:00.000013523,,,,,,25
1970-01-01 00:00:00.000013524,,,,,,32
1970-01-01 00:00:00.000013525,,,,,,23
1970-01-01 00:00:00.000013526,,,,,,26
1970-01-01 00:00:00.000013527,,,,,,30
1970-01-01 00:00:00.000013528,,,,,,26
1970-01-01 00:00:00.000013529,,,,,,37
1970-01-01 00:00:00.000013530,,,,,,29
1970-01-01 00:00:00.000013531,,,,,,22
1970-01-01 00:00:00.000013532,,,,,,29
1970-01-01 00:00:00.000013533,,,,,,23
1970-01-01 00:00:00.000013534,,,,,,29
1970-01-01 00:00:00.000013535,,,,,,25
1970-01-01 00:00:00.000013536,,,,,,26
1970-01-01 00:00:00.000013537,,,,,,20
1970-01-01 00:00:00.000013538,,,,,,33
1970-01-01 00:00:00.000013539,,,,,,25
1970-01-01 00:00:00.000013540,,,,,,24
1970-01-01 00:00:00.000013541,,,,,,31
1970-01-01 00:00:00.000013542,,,,,,30
1970-01-01 00:00:00.000013543,,,,,,28
1970-01-01 00:00:00.000013544,,,,,,31
1970-01-01 00:00:00.000013545,,,,,,30
1970-01-01 00:00:00.000013546,,,,,,31
1970-01-01 00:00:00.000013547,,,,,,36
1970-01-01 00:00:00.000013548,,,,,,17
1970-01-01 00:00:00.000013549,,,,,,16
1970-01-01 00:00:00.000013550,,,,,,33
1970-01-01 00:00:00.000013551,,,,,,31
1970-01-01 00:00:00.000013552,,,,,,21
1970-01-01 00:00:00.000013553,,,,,,35
1970-01-01 00:00:00.000013554,,,,,,17
1970-01-01 00:00:00.000013555,,,,,,21
1970-01-01 00:00:00.000013556,,,,,,21
1970-01-01 00:00:00.000013557,,,,,,17
1970-01-01 00:00:00.000013558,,,,,,25
1970-01-01 00:00:00.000013559,,,,,,14
1970-01-01 00:00:00.000013560,,,,,,16
1970-01-01 00:00:00.000013561,,,,,,23
1970-01-01 00:00:00.000013562,,,,,,23
1970-01-01 00:00:00.000013563,,,,,,30
1970-01-01 00:00:00.000013564,,,,,,20
1970-01-01 00:00:00.000013565,,,,,,26
1970-01-01 00:00:00.000013566,,,,,,21
1970-01-01 00:00:00.000013567,,,,,,31
1970-01-01 00:00:00.000013568,,,,,,31
1970-01-01 00:00:00.000013569,,,,,,23
1970-01-01 00:00:00.000013570,,,,,,34
1970-01-01 00:00:00.000013571,,,,,,32
1970-01-01 00:00:00.000013572,,,,,,22
1970-01-01 00:00:00.000013573,,,,,,9
1970-01-01 00:00:00.000013574,,,,,,0
1970-01-01 00:00:00.000013575,,,,,,14
1970-01-01 00:00:00.000013576,,,,,,57
1970-01-01 00:00:00.000013577,,,,,,41
1970-01-01 00:00:00.000013578,,,,,,20
1970-01-01 00:00:00.000013579,,,,,,19
1970-01-01 00:00:00.000013580,,,,,,15
1970-01-01 00:00:00.000013581,,,,,,20
1970-01-01 00:00:00.000013582,,,,,,23
1970-01-01 00:00:00.000013583,,,,,,13
1970-01-01 00:00:00.000013584,,,,,,18
1970-01-01 00:00:00.000013585,,,,,,18
1970-01-01 00:00:00.000013586,,,,,,19
1970-01-01 00:00:00.000013587,,,,,,26
1970-01-01 00:00:00.000013588,,,,,,21
1970-01-01 00:00:00.000013589,,,,,,29
1970-01-01 00:00:00.000013590,,,,,,31
1970-01-01 00:00:00.000013591,,,,,,22
1970-01-01 00:00:00.000013592,,,,,,18
1970-01-01 00:00:00.000013593,,,,,,18
1970-01-01 00:00:00.000013594,,,,,,27
1970-01-01 00:00:00.000013595,,,,,,23
1970-01-01 00:00:00.000013596,,,,,,18
