sector,levene_stat,levene_p
Energy,4175.121630499489,0.0
Infra,4023.0464714171635,0.0
IT,4436.966917960129,0.0
Auto,22.183245355503445,5.936169153543423e-10
Pharma,35.49472334814514,3.9330022207416336e-15
FMCG,4855.491268284499,0.0
