Date,Close,High,Low,Open,Volume,Return
2015-10-06,13275.75,13394.4501953125,13228.25,13247.400390625,10193000,
2015-10-07,13332.400390625,13345.5498046875,13205.7001953125,13315.650390625,9994000,0.004267208302732417
2015-10-08,13212.849609375,13398.349609375,13176.7001953125,13398.349609375,9860000,-0.00896693601656795
2015-10-09,13277.7001953125,13333.599609375,13197.400390625,13299.5,9982000,0.004908145317228607
2015-10-12,13111.650390625,13335.0,13058.4501953125,13309.849609375,7373000,-0.01250591610331142
2015-10-13,13115.400390625,13169.900390625,13026.900390625,13128.2001953125,7288000,0.0002860051853335044
2015-10-14,13160.650390625,13185.900390625,13096.75,13115.900390625,7409000,0.0034501424777200196
2015-10-15,13168.599609375,13261.099609375,13138.7001953125,13215.400390625,8261000,0.0006040141265102328
2015-10-16,13203.5498046875,13217.25,13078.7001953125,13182.599609375,6930000,0.0026540555829199786
2015-10-19,13413.650390625,13425.150390625,13190.849609375,13221.7001953125,8277000,0.015912431811550443
2015-10-20,13340.9501953125,13490.599609375,13288.099609375,13490.599609375,12584000,-0.005419866568410869
2015-10-21,13189.7998046875,13334.5498046875,13172.900390625,13314.349609375,8432000,-0.011329806978674473
2015-10-23,13258.5,13331.099609375,13236.0498046875,13331.099609375,11854000,0.005208585143808175
2015-10-26,13234.650390625,13335.099609375,13183.2998046875,13335.099609375,8910000,-0.001798816561074057
2015-10-27,13223.0,13270.0498046875,13136.849609375,13163.0,11459000,-0.0008802945511316995
2015-10-28,13149.150390625,13186.599609375,13049.0,13185.400390625,10198000,-0.005584936048929845
2015-10-29,13052.0,13185.5498046875,13031.400390625,13170.9501953125,15978000,-0.007388339758762297
2015-10-30,13170.150390625,13241.7998046875,13085.4501953125,13124.2998046875,11339000,0.009052282456711636
2015-11-02,13029.7001953125,13098.599609375,12927.2001953125,13094.400390625,6927000,-0.010664281815071619
2015-11-03,13054.5498046875,13155.2001953125,13004.7998046875,13099.099609375,7424000,0.0019071512776587252
2015-11-04,12923.900390625,13116.2998046875,12901.5498046875,13094.7001953125,8879000,-0.010007960137820127
2015-11-05,12632.5,12904.2001953125,12582.150390625,12901.0498046875,9849000,-0.022547403014370304
2015-11-06,12226.650390625,12755.400390625,12205.2998046875,12644.4501953125,14416000,-0.032127418117949724
2015-11-09,11989.0498046875,12031.650390625,11753.2998046875,11877.2001953125,16691000,-0.01943300727071451
2015-11-10,11618.2998046875,12010.2001953125,11605.9501953125,11949.849609375,14534000,-0.03092405203413562
2015-11-13,11640.5498046875,11723.099609375,11595.7998046875,11651.849609375,15296000,0.0019150822731415218
2015-11-16,11711.0,11768.849609375,11601.75,11688.4501953125,11892000,0.006052136410612752
2015-11-17,11801.2001953125,11828.849609375,11720.25,11754.9501953125,11383000,0.007702177039748959
2015-11-18,11717.7998046875,11837.349609375,11692.849609375,11785.5498046875,9040000,-0.007067110907764018
2015-11-19,11674.9501953125,11811.75,11576.75,11790.75,12247000,-0.0036567965052499707
2015-11-20,11685.349609375,11723.900390625,11599.400390625,11690.4501953125,10902000,0.0008907459037106324
2015-11-23,11717.150390625,11749.5,11652.0498046875,11709.2998046875,12058000,0.002721423176289539
2015-11-24,11637.849609375,11738.650390625,11603.900390625,11711.900390625,14518000,-0.006767923821601629
2015-11-26,11553.2998046875,11669.099609375,11536.2001953125,11567.2001953125,20478000,-0.0072650710849012645
2015-11-27,11567.5498046875,11630.7998046875,11497.2001953125,11620.9501953125,12917000,0.0012334138506662207
2015-11-30,11492.900390625,11561.150390625,11483.099609375,11535.5,36112000,-0.006453347106597285
2015-12-01,11608.7001953125,11620.25,11536.2998046875,11542.7998046875,10459000,0.010075768583356126
2015-12-02,11723.349609375,11743.4501953125,11617.599609375,11681.5,11825000,0.009876162889346896
2015-12-03,11587.2998046875,11697.900390625,11567.5498046875,11697.900390625,8922000,-0.011605028359702119
2015-12-04,11645.0498046875,11812.7001953125,11489.75,11524.7001953125,31237000,0.004983904876323164
2015-12-07,11762.599609375,11785.349609375,11693.0,11728.2001953125,11490000,0.010094401196994562
2015-12-08,11610.349609375,11732.650390625,11585.4501953125,11725.599609375,8911000,-0.012943567328318695
2015-12-09,11372.0498046875,11592.400390625,11351.4501953125,11560.4501953125,12859000,-0.02052477424926813
2015-12-10,11368.150390625,11449.5498046875,11202.150390625,11449.5498046875,12690000,-0.0003428945642581782
2015-12-11,11383.5,11503.099609375,11311.2001953125,11391.5,9674000,0.0013502292675207084
2015-12-14,11488.0,11511.0,11349.150390625,11376.4501953125,8634000,0.009179953441384558
2015-12-15,11554.7998046875,11574.849609375,11512.0498046875,11515.599609375,7917000,0.005814746229761525
2015-12-16,11637.650390625,11674.5498046875,11608.2001953125,11625.7001953125,8394000,0.007170231188591281
2015-12-17,11771.7998046875,11785.7998046875,11679.9501953125,11713.349609375,10466000,0.011527190589138758
2015-12-18,11663.7998046875,11823.5,11646.5498046875,11734.5,10305000,-0.00917446794813781
2015-12-21,11556.9501953125,11581.849609375,11416.349609375,11449.650390625,16764000,-0.00916078903652473
2015-12-22,11595.900390625,11654.150390625,11569.2001953125,11578.2998046875,7640000,0.003370283219555459
2015-12-23,11805.849609375,11823.650390625,11677.150390625,11677.150390625,11106000,0.018105469319117162
2015-12-24,11795.75,11883.599609375,11776.75,11880.900390625,5883000,-0.0008554750152822699
2015-12-28,12009.0,12036.400390625,11816.349609375,11816.349609375,9558000,0.018078545238751298
2015-12-29,12022.349609375,12091.5,11984.0,12050.849609375,7420000,0.001111633722624683
2015-12-30,11987.25,12060.849609375,11976.099609375,12051.0498046875,6727000,-0.0029195299184803236
2015-12-31,11963.5,12031.849609375,11887.0498046875,12005.2998046875,33009000,-0.0019812717679200675
2016-01-01,11979.849609375,12010.900390625,11911.75,11934.599609375,10092000,0.0013666242633845194
2016-01-04,11733.7001953125,11983.849609375,11709.2001953125,11945.2998046875,11809000,-0.020546953600308338
