date,year,month,day,portid,portname,n_container,n_dry_bulk,n_general_cargo,n_roro,n_tanker,n_cargo,n_total,capacity_container,capacity_dry_bulk,capacity_general_cargo,capacity_roro,capacity_tanker,capacity_cargo,capacity,ObjectId
2019/01/19 00:00:00+00,2019,1,19,chokepoint2,Panama Canal,7,6,1,0,19,14,33,403098.465764378,301062.34514815,12815.1041666667,0,626935.670647458,716975.915079196,1343911.58572665,21860
2019/07/03 00:00:00+00,2019,7,3,chokepoint2,Panama Canal,11,3,4,3,13,21,34,667752.352732712,145416.81202259,67167.2913641807,51979.9761470345,571454.433576367,932316.432266517,1503770.86584288,21861
2019/01/20 00:00:00+00,2019,1,20,chokepoint2,Panama Canal,11,9,1,3,14,24,38,758473.472350654,380532.072317506,16478.8514851485,75413.5958044784,792412.830838112,1230897.99195779,2023310.8227959,21862
2019/07/04 00:00:00+00,2019,7,4,chokepoint2,Panama Canal,9,4,2,4,15,19,34,651476.381935779,198314.244877005,38209.9434094085,74606.9730235043,552149.290949234,962607.543245698,1514756.83419493,21863
2019/01/21 00:00:00+00,2019,1,21,chokepoint2,Panama Canal,10,10,1,3,10,24,34,559094.442778121,524284.216900936,2212.69230769231,55316.2406165263,391157.666175539,1140907.59260328,1532065.25877881,21867
2019/07/05 00:00:00+00,2019,7,5,chokepoint2,Panama Canal,11,6,3,0,9,20,29,743742.88461691,260754.041840607,33079.4992020721,0,423700.559946237,1037576.42565959,1461276.98560583,21868
2019/01/22 00:00:00+00,2019,1,22,chokepoint2,Panama Canal,4,15,2,2,12,23,35,226107.606194634,774128.100859617,52338.3583752696,42616.906030106,386818.518017845,1095190.97145963,1482009.48947747,21872
2019/07/06 00:00:00+00,2019,7,6,chokepoint2,Panama Canal,10,7,1,2,14,20,34,613869.990173528,314464.722119682,18723.76,39015.962628866,646951.877009135,986074.434922075,1633026.31193121,21873
2019/01/23 00:00:00+00,2019,1,23,chokepoint2,Panama Canal,9,6,4,2,12,21,33,333474.101363326,277578.025337611,82096.2838055178,30484.5061012444,502003.424733615,723632.916607699,1225636.34134131,21877
2019/07/07 00:00:00+00,2019,7,7,chokepoint2,Panama Canal,13,5,4,4,13,26,39,745809.40016741,237722.782701177,68656.5858083805,64744.5102628313,507653.932440727,1116933.2789398,1624587.21138053,21878
2019/01/24 00:00:00+00,2019,1,24,chokepoint2,Panama Canal,15,9,1,1,14,26,40,1031748.41559245,375075.512122145,12018.4941176471,17134.0416666667,540547.864560512,1435976.4634989,1976524.32805942,21882
2019/07/08 00:00:00+00,2019,7,8,chokepoint2,Panama Canal,6,4,2,3,14,15,29,374295.718214192,273890.636079266,13264.6731200898,51243.5848562555,605354.367482506,712694.612269803,1318048.97975231,21883
2019/01/25 00:00:00+00,2019,1,25,chokepoint2,Panama Canal,12,4,1,2,10,19,29,868309.046390544,193790.876580774,19486.7924528302,31923.0331632653,374656.360016656,1113509.74858741,1488166.10860407,21887
2019/07/09 00:00:00+00,2019,7,9,chokepoint2,Panama Canal,9,9,3,4,14,25,39,448607.674603448,472078.688898448,33963.2660246121,62118.9075137754,479590.369092694,1016768.53704028,1496358.90613298,21888
2019/01/26 00:00:00+00,2019,1,26,chokepoint2,Panama Canal,6,11,1,3,15,21,36,388408.962786588,464596.035369903,10715.7684210526,50240.5840688438,416511.830700891,913961.350646388,1330473.18134728,21892
2019/07/10 00:00:00+00,2019,7,10,chokepoint2,Panama Canal,10,7,2,2,15,21,36,641839.183909871,333091.462215376,40416.9778694674,43991.9894736842,505198.665860189,1059339.6134684,1564538.27932859,21893
2019/01/27 00:00:00+00,2019,1,27,chokepoint2,Panama Canal,11,5,2,3,12,21,33,604061.29596422,251166.731547614,36161.8622661123,73468.4637252697,477949.50979123,964858.353503215,1442807.86329445,21897
2019/07/11 00:00:00+00,2019,7,11,chokepoint2,Panama Canal,7,6,3,0,17,16,33,492788.182637247,294922.130274261,61308.5052956346,0,743865.24356595,849018.818207142,1592884.06177309,21898
2019/01/28 00:00:00+00,2019,1,28,chokepoint2,Panama Canal,5,9,2,3,16,19,35,346746.881897421,308950.061864858,38506.0894736842,56031.2463975473,548099.723822291,750234.279633511,1298334.0034558,21902
2019/07/12 00:00:00+00,2019,7,12,chokepoint2,Panama Canal,15,7,3,1,11,26,37,950234.380859868,302500.74283679,40791.9751187631,18523.46875,525057.258138759,1312050.56756542,1837107.82570418,21903
2019/01/29 00:00:00+00,2019,1,29,chokepoint2,Panama Canal,8,8,1,0,13,17,30,395454.95819409,325871.7867549,15547.1313131313,0,559605.154399152,736873.876262121,1296479.03066127,21907
2019/01/30 00:00:00+00,2019,1,30,chokepoint2,Panama Canal,12,4,1,3,15,20,35,623833.245010038,174909.053088803,11035.6235294118,57728.1757868635,607395.935017624,867506.097415116,1474902.03243274,21908
2019/01/31 00:00:00+00,2019,1,31,chokepoint2,Panama Canal,8,8,2,3,18,21,39,545003.873451255,365332.963784737,42495.2886904762,59724.8625991125,599942.25253628,1012556.98852558,1612499.24106186,21909
