Date,Vessel Type,Status,Transit Count,Net Tonnage
01/07/2019,Passenger Ships,Ballast,1,12
01/07/2019,Others,Ballast,3,40
01/08/2019,Tankers,Laden,340,14968
01/08/2019,LNG Ships,Laden,36,4147
01/08/2019,Bulk Carrier,Laden,325,12250
01/08/2019,General Cargo,Laden,120,1316
01/08/2019,Container Ships,Laden,467,55535
01/08/2019,RoRo,Laden,18,526
01/08/2019,Car Carrier,Laden,68,4332
01/08/2019,Passenger Ships,Laden,1,73
01/08/2019,Others,Laden,43,220
01/08/2019,Tankers,Ballast,80,4232
01/08/2019,LNG Ships,Ballast,34,3799
01/08/2019,Bulk Carrier,Ballast,91,3467
01/08/2019,General Cargo,Ballast,26,189
01/08/2019,Container Ships,Ballast,8,361
01/08/2019,RoRo,Ballast,4,22
01/08/2019,Car Carrier,Ballast,10,490
01/08/2019,Passenger Ships,Ballast,0,0
01/08/2019,Others,Ballast,8,73
01/09/2019,Tankers,Laden,301,13058
01/09/2019,LNG Ships,Laden,36,4186
01/09/2019,Bulk Carrier,Laden,327,11804
01/09/2019,General Cargo,Laden,74,812
01/09/2019,Container Ships,Laden,422,51629
01/09/2019,RoRo,Laden,11,325
01/09/2019,Car Carrier,Laden,62,3962
01/09/2019,Passenger Ships,Laden,0,0
01/09/2019,Others,Laden,35,178
01/09/2019,Tankers,Ballast,111,5510
01/09/2019,LNG Ships,Ballast,29,3419
01/09/2019,Bulk Carrier,Ballast,77,3448
01/09/2019,General Cargo,Ballast,18,136
01/09/2019,Container Ships,Ballast,10,368
01/09/2019,RoRo,Ballast,3,15
01/09/2019,Car Carrier,Ballast,0,0
01/09/2019,Passenger Ships,Ballast,2,30
01/09/2019,Others,Ballast,4,94
01/10/2019,Tankers,Laden,361,15399
01/10/2019,LNG Ships,Laden,30,3489
01/10/2019,Bulk Carrier,Laden,338,12529
01/10/2019,General Cargo,Laden,100,1128
01/10/2019,Container Ships,Laden,440,54668
01/10/2019,RoRo,Laden,19,573
01/10/2019,Car Carrier,Laden,76,4923
01/10/2019,Passenger Ships,Laden,9,651
01/10/2019,Others,Laden,112,259
01/10/2019,Tankers,Ballast,121,6581
01/10/2019,LNG Ships,Ballast,32,3725
01/10/2019,Bulk Carrier,Ballast,105,4248
01/10/2019,General Cargo,Ballast,19,174
01/10/2019,Container Ships,Ballast,6,283
01/10/2019,RoRo,Ballast,1,4
01/10/2019,Car Carrier,Ballast,4,165
01/10/2019,Passenger Ships,Ballast,3,25
01/10/2019,Others,Ballast,5,95
01/11/2019,Tankers,Laden,327,14646
01/11/2019,LNG Ships,Laden,37,3975
01/11/2019,Bulk Carrier,Laden,291,10903
01/11/2019,General Cargo,Laden,101,1143
01/11/2019,Container Ships,Laden,406,49351
01/11/2019,RoRo,Laden,12,475
01/11/2019,Car Carrier,Laden,67,4201
01/11/2019,Passenger Ships,Laden,18,1242
01/11/2019,Others,Laden,59,346
01/11/2019,Tankers,Ballast,127,8431
01/11/2019,LNG Ships,Ballast,26,2900
01/11/2019,Bulk Carrier,Ballast,79,3380
01/11/2019,General Cargo,Ballast,32,321
01/11/2019,Container Ships,Ballast,4,75
01/11/2019,RoRo,Ballast,4,73
01/11/2019,Car Carrier,Ballast,4,206
01/11/2019,Passenger Ships,Ballast,0,0
01/11/2019,Others,Ballast,0,0
01/12/2019,Tankers,Laden,357,15487
01/12/2019,LNG Ships,Laden,35,3582
01/12/2019,Bulk Carrier,Laden,326,12511
01/12/2019,General Cargo,Laden,98,1010
01/12/2019,Container Ships,Laden,422,50730
01/12/2019,RoRo,Laden,14,531
01/12/2019,Car Carrier,Laden,68,4360
01/12/2019,Passenger Ships,Laden,7,154
01/12/2019,Others,Laden,42,413
01/12/2019,Tankers,Ballast,125,8207
01/12/2019,LNG Ships,Ballast,29,3065
01/12/2019,Bulk Carrier,Ballast,82,3212
01/12/2019,General Cargo,Ballast,34,306
01/12/2019,Container Ships,Ballast,1,12
01/12/2019,RoRo,Ballast,5,78
01/12/2019,Car Carrier,Ballast,4,172
01/12/2019,Passenger Ships,Ballast,0,0
01/12/2019,Others,Ballast,2,37
