date,year,month,day,portid,portname,n_container,n_dry_bulk,n_general_cargo,n_roro,n_tanker,n_cargo,n_total,capacity_container,capacity_dry_bulk,capacity_general_cargo,capacity_roro,capacity_tanker,capacity_cargo,capacity,ObjectId
2019/01/23 00:00:00+00,2019,1,23,chokepoint6,Strait of Hormuz,9,10,3,1,58,23,81,299458.358617205,121846.398632339,9216.17592477288,0,2211174.84244296,430520.933174317,2641695.77561728,47312
2019/04/29 00:00:00+00,2019,4,29,chokepoint6,Strait of Hormuz,24,18,7,5,61,54,115,782947.007049828,733172.983665738,29254.0272561076,11153.9264083847,2492714.77962855,1556527.94438006,4049242.72400861,47313
2019/08/08 00:00:00+00,2019,8,8,chokepoint6,Strait of Hormuz,14,11,8,5,54,38,92,330966.420185572,230870.320041027,64186.4651680671,12184.2193046095,2708460.5923464,638207.424699275,3346668.01704568,47315
2019/06/24 00:00:00+00,2019,6,24,chokepoint6,Strait of Hormuz,16,14,5,3,77,38,115,681461.749001096,321465.645662433,37398.12988539,5038.10730122917,2894227.43747255,1045363.63185015,3939591.0693227,47316
2019/01/24 00:00:00+00,2019,1,24,chokepoint6,Strait of Hormuz,13,7,1,0,53,21,74,277224.034541283,188306.922454089,17519.3621126732,0,3193305.14684034,483050.319108045,3676355.46594839,47318
2019/04/30 00:00:00+00,2019,4,30,chokepoint6,Strait of Hormuz,7,12,6,2,46,27,73,332976.275636485,331437.144938016,38185.2172679435,6930.81550991112,2453342.52955029,709529.453352356,3162871.98290265,47319
2019/08/09 00:00:00+00,2019,8,9,chokepoint6,Strait of Hormuz,19,21,3,2,53,45,98,768856.152692535,501608.730143258,11386.3239865585,0,3590539.72315795,1281851.20682235,4872390.9299803,47321
2019/06/25 00:00:00+00,2019,6,25,chokepoint6,Strait of Hormuz,14,14,6,0,68,34,102,503623.998040945,468579.165380406,25557.7203191027,0,3686031.44895744,997760.883740454,4683792.33269789,47322
2019/01/25 00:00:00+00,2019,1,25,chokepoint6,Strait of Hormuz,9,9,5,0,49,23,72,461368.718409936,231414.114395502,30155.5332459965,0,2460906.57311096,722938.366051434,3183844.93916239,47324
2019/05/01 00:00:00+00,2019,5,1,chokepoint6,Strait of Hormuz,13,25,3,3,66,44,110,409421.995444432,504466.925201104,15498.3235153981,3859.0914941475,2062241.24237089,933246.335655082,2995487.57802597,47325
2019/01/01 00:00:00+00,2019,1,1,chokepoint6,Strait of Hormuz,13,14,6,3,60,36,96,315967.561123762,572800.017525164,28977.2025264056,2898.28782751897,3217889.24743727,920643.069002851,4138532.31644012,47359
2019/01/02 00:00:00+00,2019,1,2,chokepoint6,Strait of Hormuz,13,12,0,4,55,29,84,532352.66479692,442613.964853873,0,11867.8633459415,1766019.46578828,986834.492996735,2752853.95878502,47360
2019/01/03 00:00:00+00,2019,1,3,chokepoint6,Strait of Hormuz,15,15,5,1,58,36,94,673161.942369558,348852.853171524,31722.3940172561,0,3728138.9129786,1053737.18955834,4781876.10253694,47361
2019/01/04 00:00:00+00,2019,1,4,chokepoint6,Strait of Hormuz,10,14,2,2,41,28,69,413464.183999275,317739.494467847,20633.3586183002,8512.78733367772,1423100.00482689,760349.8244191,2183449.82924599,47362
2019/01/05 00:00:00+00,2019,1,5,chokepoint6,Strait of Hormuz,12,14,3,1,51,30,81,405983.367852344,738680.749702616,2521.5545378588,0,1513468.16753576,1147185.67209282,2660653.83962858,47363
2019/01/06 00:00:00+00,2019,1,6,chokepoint6,Strait of Hormuz,13,19,1,2,42,35,77,464042.987125285,441886.996768804,1455.93913137644,7826.50030611164,2537139.12570218,915212.423331578,3452351.54903376,47364
2019/01/07 00:00:00+00,2019,1,7,chokepoint6,Strait of Hormuz,13,10,4,4,65,31,96,445594.180954664,280575.347506633,14585.3629347585,4715.73490478678,2724280.23820922,745470.626300843,3469750.86451006,47365
2019/01/08 00:00:00+00,2019,1,8,chokepoint6,Strait of Hormuz,8,13,8,2,38,31,69,312477.587826407,523404.288971617,57925.4052735811,0,443831.42206557,893807.282071605,1337638.70413717,47366
