date,open,high,low,close,volume
2015-11-09,3426.6,3515.9,3417.65,3507.8,0
2019-07-02,9734.75,9749.15,9676.1,9743.5,0
2019-07-03,9762.85,9774.7,9731.95,9754.6,0
2019-07-04,9767.8,9793.3,9765.4,9771.25,0
2019-07-05,9793.65,9805.25,9645.2,9647.8,0
2019-07-08,9619.4,9619.4,9418.05,9454.4,0
2019-07-09,9428.05,9473.2,9376.0,9453.55,0
2019-07-10,9443.65,9482.4,9385.85,9396.0,0
2019-07-11,9447.15,9475.45,9414.15,9461.7,0
2019-07-12,9480.05,9519.65,9448.45,9453.75,0
2019-07-15,9499.25,9501.7,9427.95,9466.9,0
2019-07-16,9473.85,9533.35,9456.85,9528.35,0
2019-07-17,9535.25,9563.95,9520.45,9541.95,0
2019-07-18,9534.15,9534.15,9447.65,9458.45,0
2019-07-19,9484.55,9494.55,9289.4,9317.6,0
2019-07-22,9282.6,9282.6,9197.45,9240.75,0
2019-07-23,9265.85,9277.45,9209.1,9230.5,0
2019-07-24,9228.8,9256.35,9134.75,9156.8,0
2019-07-25,9173.75,9232.15,9148.75,9165.3,0
2019-07-26,9156.0,9206.5,9125.65,9200.2,0
2019-07-29,9205.35,9205.35,9081.75,9110.95,0
2019-07-30,9123.65,9165.6,8995.6,8995.9,0
2019-07-31,8963.3,9057.7,8928.05,9040.95,0
2019-08-01,9001.7,9026.05,8859.6,8942.85,0
2019-08-02,8890.5,9006.85,8821.4,8946.8,0
2019-08-05,8866.9,8866.9,8765.6,8829.0,0
2019-08-06,8792.65,8960.55,8792.65,8908.15,0
2019-08-07,8928.6,8953.1,8840.55,8841.2,0
2019-08-08,8888.45,8998.7,8844.6,8991.45,0
2019-08-09,9022.5,9103.0,9010.75,9045.0,0
2019-08-13,9066.35,9068.95,8876.6,8884.55,0
2019-08-14,8942.0,8997.8,8897.3,8958.15,0
2019-08-16,8971.65,8999.15,8886.5,8984.45,0
2019-08-19,9022.6,9061.35,8984.15,8997.65,0
2019-08-20,9004.75,9011.95,8930.65,8961.25,0
2019-08-21,8957.85,8964.95,8858.7,8861.65,0
2019-08-22,8851.35,8852.05,8706.9,8715.25,0
2019-08-23,8687.45,8812.4,8628.55,8798.25,0
2019-08-26,8933.05,8972.9,8735.45,8964.6,0
2019-08-27,9004.0,9047.85,8973.05,9030.35,0
2019-08-28,9023.8,9047.35,8930.15,8967.2,0
2019-08-29,8938.05,8954.35,8874.35,8915.05,0
2019-08-30,8936.45,8990.9,8859.9,8984.1,0
2019-09-03,8927.9,8927.9,8784.65,8786.45,0
2019-09-04,8798.75,8841.85,8751.35,8827.4,0
2019-09-05,8848.0,8894.6,8825.3,8840.4,0
2019-09-06,8873.75,8928.35,8859.4,8916.4,0
2019-09-09,8914.7,8986.55,8883.2,8971.75,0
2019-09-11,8992.7,9026.1,8981.4,9002.35,0
2019-09-12,9036.95,9060.95,8970.45,8979.6,0
2019-09-13,8992.65,9056.5,8945.95,9053.05,0
2019-09-16,8992.15,9044.3,8979.0,9001.1,0
2019-09-17,9010.55,9012.1,8838.65,8857.6,0
2019-09-18,8898.95,8912.0,8841.85,8882.9,0
2019-09-19,8884.5,8884.5,8738.85,8763.15,0
2019-09-20,8799.45,9293.85,8748.4,9231.6,0
2019-09-23,9425.4,9551.95,9387.7,9482.95,0
2019-09-24,9489.1,9530.05,9434.9,9474.8,0
2019-09-25,9458.05,9458.05,9326.3,9334.1,0
2019-09-26,9365.5,9470.75,9365.5,9451.45,0
2019-09-27,9435.55,9464.9,9388.75,9392.3,0
2019-09-30,9384.65,9386.85,9277.2,9341.85,0
2019-10-01,9372.7,9401.65,9140.7,9243.3,0
2019-10-03,9207.15,9242.95,9154.2,9197.05,0
2019-10-04,9253.1,9263.85,9078.95,9080.25,0
2019-10-07,9104.5,9120.15,9032.05,9034.95,0
2019-10-09,9059.1,9182.85,9009.1,9180.55,0
2019-10-10,9153.5,9165.0,9097.55,9113.15,0
2019-10-11,9132.4,9206.95,9076.35,9157.15,0
2019-10-14,9187.7,9248.45,9156.95,9184.8,0
2019-10-15,9208.7,9276.9,9197.2,9254.2,0
2019-10-16,9282.95,9301.45,9246.65,9285.35,0
2019-10-17,9286.65,9399.0,9268.2,9388.8,0
2019-10-18,9391.85,9494.4,9374.1,9477.65,0
2019-10-22,9481.05,9526.55,9437.25,9448.15,0
2019-10-23,9457.25,9497.65,9418.8,9462.9,0
